plan,median realised loss,mean,p90 (bad storms),median reduction vs status quo (no action),win rate vs status quo (no action),spend_usd
OPTIMISED (CP-SAT),1961755.9275692953,2964317.6939315377,6705580.21665272,0.5086534453014355,0.988,189400.0
greedy rank-by-risk,2280578.9624084374,3454535.6031568907,7290480.744485892,0.4288001885709448,0.952,204400.0
rank-by-probability,2886948.2099837223,4748453.843266726,9541451.257247698,0.2769273503221851,0.89,205600.0
rank-by-customers,3113578.910149892,4790770.520208735,9304671.6739277,0.2201648284657869,0.868,217000.0
random,3260386.0235180412,5113478.443594045,9863717.366264243,0.18339513232521854,0.848,209200.0
status quo (no action),3992611.546391752,5654012.25971134,10880088.346391752,0.0,0.0,0.0
